idx,population,X,Y,Z,border_distance,total_truth,total_pred,pred_over_truth,genPhotons,min_opdet_dist,pe_weighted_dist,closest_detID,max_single_opdet_pe,max_pe_detID
117,B_mid_truth_600k_1100k,20,62.27,5612.48,128.566,846612,872055,1.03005,10000000,37.0321,133.316,3039,139121,3039
118,B_mid_truth_600k_1100k,20,62.27,5724.08,232.571,829590,827677,0.997694,10000000,37.0321,125.192,3019,142301,3018
119,B_mid_truth_600k_1100k,20,77.838,35.119,276.081,879436,875611,0.995651,10000000,25.3841,109.552,3998,349542,3998
120,B_mid_truth_600k_1100k,20,77.838,146.719,171.912,999396,1.02738e+06,1.028,10000000,25.3841,113.115,3978,339055,3978
121,B_mid_truth_600k_1100k,20,77.838,267.509,84.347,996039,1.03201e+06,1.03611,10000000,25.3841,121.381,3958,336086,3958
122,B_mid_truth_600k_1100k,20,77.838,379.109,77.838,1.0419e+06,1.06122e+06,1.01854,10000000,25.3841,125.085,3938,337375,3938
123,B_mid_truth_600k_1100k,20,77.838,499.899,77.838,1.01174e+06,1.05706e+06,1.04479,10000000,25.3841,128.283,3918,335779,3918
124,B_mid_truth_600k_1100k,20,77.838,611.499,77.838,1.05037e+06,1.07665e+06,1.02502,10000000,25.3841,129.52,3898,337244,3898
125,B_mid_truth_600k_1100k,20,77.838,732.289,77.838,1.01641e+06,1.06417e+06,1.04699,10000000,25.3841,130.985,3878,336400,3878
126,B_mid_truth_600k_1100k,20,77.838,843.889,77.838,1.05178e+06,1.08018e+06,1.027,10000000,25.3841,131.097,3858,336935,3858
127,B_mid_truth_600k_1100k,20,77.838,964.679,77.838,1.01788e+06,1.06583e+06,1.0471,10000000,25.3841,131.798,3838,336406,3838
128,B_mid_truth_600k_1100k,20,77.838,1076.28,77.838,1.05261e+06,1.08101e+06,1.02698,10000000,25.3841,131.351,3818,337147,3818
129,B_mid_truth_600k_1100k,20,77.838,1197.07,77.838,1.01912e+06,1.06623e+06,1.04623,10000000,25.3841,131.77,3798,336840,3798
130,B_mid_truth_600k_1100k,20,77.838,1308.67,77.838,1.0537e+06,1.08121e+06,1.02611,10000000,25.3841,131.511,3778,336868,3778
131,B_mid_truth_600k_1100k,20,77.838,1429.46,77.838,1.01879e+06,1.06633e+06,1.04666,10000000,25.3841,131.874,3758,336597,3758
132,B_mid_truth_600k_1100k,20,77.838,1541.06,77.838,1.04997e+06,1.08126e+06,1.0298,10000000,25.3841,131.401,3738,335935,3738
133,B_mid_truth_600k_1100k,20,77.838,1661.85,77.838,1.01957e+06,1.06634e+06,1.04587,10000000,25.3841,131.921,3718,336619,3718
134,B_mid_truth_600k_1100k,20,77.838,1773.45,77.838,1.05275e+06,1.08126e+06,1.02708,10000000,25.3841,131.434,3698,337489,3698
135,B_mid_truth_600k_1100k,20,77.838,1894.24,77.838,1.01648e+06,1.06634e+06,1.04905,10000000,25.3841,132.182,3678,335680,3678
136,B_mid_truth_600k_1100k,20,77.838,2005.84,77.838,1.05294e+06,1.08126e+06,1.02689,10000000,25.3841,131.546,3658,337668,3658
137,B_mid_truth_600k_1100k,20,77.838,2126.63,77.838,1.0175e+06,1.06634e+06,1.048,10000000,25.3841,132.09,3638,336238,3638
138,B_mid_truth_600k_1100k,20,77.838,2238.23,77.838,1.05268e+06,1.08126e+06,1.02715,10000000,25.3841,131.188,3618,337062,3618
139,B_mid_truth_600k_1100k,20,77.838,2359.02,77.838,1.01744e+06,1.06634e+06,1.04806,10000000,25.3841,131.822,3598,335101,3598
140,B_mid_truth_600k_1100k,20,77.838,2470.62,77.838,1.05302e+06,1.08126e+06,1.02681,10000000,25.3841,131.618,3578,337523,3578
141,B_mid_truth_600k_1100k,20,77.838,2591.41,77.838,1.01962e+06,1.06634e+06,1.04582,10000000,25.3841,131.951,3558,336511,3558
142,B_mid_truth_600k_1100k,20,77.838,2703.01,77.838,1.05193e+06,1.08126e+06,1.02788,10000000,25.3841,131.542,3538,337496,3538
143,B_mid_truth_600k_1100k,20,77.838,2823.8,77.838,1.01693e+06,1.06634e+06,1.04859,10000000,25.3841,132.206,3518,334710,3518
144,B_mid_truth_600k_1100k,20,77.838,2935.4,77.838,1.05222e+06,1.08126e+06,1.0276,10000000,25.3841,131.484,3498,336245,3498
145,B_mid_truth_600k_1100k,20,77.838,3056.19,77.838,1.01785e+06,1.06634e+06,1.04764,10000000,25.3841,131.902,3478,335882,3478
146,B_mid_truth_600k_1100k,20,77.838,3167.79,77.838,1.0519e+06,1.08126e+06,1.02791,10000000,25.3841,131.905,3458,336377,3458
147,B_mid_truth_600k_1100k,20,77.838,3288.58,77.838,1.01806e+06,1.06634e+06,1.04742,10000000,25.3841,131.898,3438,336060,3438
148,B_mid_truth_600k_1100k,20,77.838,3400.18,77.838,1.05322e+06,1.08126e+06,1.02663,10000000,25.3841,131.416,3418,338123,3418
149,B_mid_truth_600k_1100k,20,77.838,3520.97,77.838,1.01793e+06,1.06634e+06,1.04756,10000000,25.3841,131.861,3398,335210,3398
150,B_mid_truth_600k_1100k,20,77.838,3632.57,77.838,1.05247e+06,1.08126e+06,1.02735,10000000,25.3841,131.668,3378,336904,3378
